trial,state,value_masked_occ_iou,best_epoch,best_masked_rmse,best_fused_full_psnr,loss_l1_weight,loss_mse_weight,occ_bce_weight,occ_weight,occ_pos_weight,occ_threshold,occ_logit_temp
0,COMPLETE,0.1330442766518059,12,0.04748327639356861,35.087423042866696,0.6623620356542088,0.3376379643457912,0.5753571532049581,4.92797576724562,14,0.03,0.01
1,COMPLETE,0.152242497918652,12,0.04763260632901268,35.06014969234977,0.5561753482887408,0.4438246517112592,0.5849549260809972,5.329770563201687,9,0.07,0.01
2,COMPLETE,0.15122994240138676,12,0.04724911751768894,35.130362574147924,0.7335558684167138,0.26644413158328617,0.16974693032602092,3.1685785941408726,11,0.05,0.02
3,COMPLETE,0.1267240634790657,11,0.047204098391743596,35.138642465635144,0.7322634555704315,0.2677365444295685,0.18526206184364577,2.260206371941118,20,0.03,0.02
4,PRUNED,0.09151397990300873,,,,0.5866114704534336,0.41338852954656635,0.34758845505563507,2.1375540844608736,19,0.05,0.02
5,PRUNED,0.0783267677015679,,,,0.8408753883293676,0.1591246116706324,0.48756641168055725,5.757995766256757,19,0.05,0.03
6,COMPLETE,0.1506153016537819,12,0.04710298843703107,35.157267370167254,0.6666031869068446,0.3333968130931554,0.23567451588694796,5.314950036607717,11,0.05,0.03
7,PRUNED,0.09911190521147051,,,,0.7816734307889972,0.2183265692110028,0.1993578407670862,2.0220884684944096,18,0.07,0.02
8,COMPLETE,0.1578356460195891,12,0.04743273162191478,35.09667388177248,0.808931027762678,0.191068972237322,0.41164906341377894,3.3235920994105967,6,0.07,0.02
9,PRUNED,0.04467901600543396,,,,0.5858782737814905,0.4141217262185095,0.4566223936114975,5.04314019446759,14,0.03,0.01
10,PRUNED,0.1091393730716949,,,,0.8436368707589074,0.15636312924109264,0.3283997911248274,3.9894358964227004,6,0.07,0.02
11,PRUNED,0.044752322330882485,,,,0.554540399751676,0.445459600248324,0.591012840407681,3.978577205688217,6,0.07,0.01
12,PRUNED,0.044741343546041056,,,,0.789481511811893,0.21051848818810703,0.4963215884638002,3.0490855152534153,9,0.07,0.01
13,PRUNED,0.044729365322281646,,,,0.6499269235444846,0.35007307645551544,0.416823072440411,4.506064545102445,8,0.07,0.01
14,COMPLETE,0.16331183227040277,12,0.04730465372182274,35.12015924985593,0.7869656567255573,0.2130343432744427,0.28123110244281185,3.331756081450573,8,0.07,0.03
15,COMPLETE,0.16321348062466212,12,0.047284206275746365,35.12391453906802,0.7929898383089627,0.20701016169103725,0.28783607745550743,3.262517265488856,7,0.07,0.03
16,PRUNED,0.10634720961431232,,,,0.7519710469106001,0.24802895308939987,0.2577003499295784,2.741038957536338,12,0.07,0.03
17,PRUNED,0.09688804164570636,,,,0.6955930588592385,0.3044069411407615,0.29248395156119333,3.4813069444586073,16,0.07,0.03
18,COMPLETE,0.1643686389947773,12,0.04731834021259386,35.11764655512379,0.765010597755469,0.23498940224453102,0.12028553585644414,2.6715830430195346,8,0.07,0.03
19,PRUNED,0.04475293600631405,,,,0.7575313051235538,0.24246869487644618,0.10916007734837294,2.609797648542723,10,0.03,0.03
20,COMPLETE,0.16216415393189218,12,0.04716638336736825,35.1455850720679,0.7025265122166696,0.2974734877833304,0.11360951319559862,3.726717320796367,8,0.07,0.03
21,COMPLETE,0.16515647383346965,12,0.04728887371466974,35.12305719447444,0.8082426103528428,0.19175738964715716,0.27840993525472485,2.7593891857986734,8,0.07,0.03
22,PRUNED,0.15408808363805515,,,,0.8122695337165464,0.18773046628345358,0.15091625170939474,2.7233429066434116,8,0.07,0.03
23,PRUNED,0.04809496280959001,,,,0.7676628899086644,0.23233711009133562,0.24176183960460532,2.389463584495938,10,0.07,0.03
